,Control,Control,Control,Control,Control,Control,Control,IBS-D,IBS-D,IBS-D,IBS-D,IBS-D,IBS-D,IBS-D,PA（5mg/kg）,PA（5mg/kg）,PA（5mg/kg）,PA（5mg/kg）,PA（5mg/kg）,PA（5mg/kg）,PA（5mg/kg）,PA（10mg/kg）,PA（10mg/kg）,PA（10mg/kg）,PA（10mg/kg）,PA（10mg/kg）,PA（10mg/kg）,PA（10mg/kg）,PA（20mg/kg）,PA（20mg/kg）,PA（20mg/kg）,PA（20mg/kg）,PA（20mg/kg）,PA（20mg/kg）,PA（20mg/kg）
21,605.858,664.480,595.405,687.876,546.287,656.609,662.506,914.406,775.587,711.401,685.764,783.856,801.580,924.844,664.420,643.654,615.372,464.477,576.010,653.210,543.424,480.091,542.765,634.823,450.149,609.020,581.334,610.410,571.623,519.260,523.127,603.570,680.318,492.244,413.277
28,601.064,571.046,618.924,523.537,584.607,558.386,648.833,725.089,896.713,808.934,690.049,945.897,967.954,1089.197,567.340,547.201,540.164,540.754,506.723,565.522,616.285,553.630,583.978,486.657,522.218,494.642,606.320,526.790,429.603,561.628,580.359,588.264,522.483,514.530,414.465
